parameter_value,prey_minimum,predator_minimum
24,1,52
24,1,60
24,2,48
24,1,38
24,1,25
24,1,37
24,1,44
24,1,12
24,3,35
24,5,31
24,1,13
24,3,51
24,1,37
24,2,43
24,1,21
24,1,40
24,1,28
24,2,29
24,2,27
24,2,33
24,2,11
24,1,33
24,1,38
24,1,18
24,1,28
24,6,45
24,1,35
24,2,46
24,2,29
24,2,13
24,1,31
24,1,44
24,3,43
24,1,38
24,1,16
24,1,40
24,3,37
24,2,36
24,3,39
24,1,24
24,2,31
24,1,40
24,1,16
24,13,17
24,1,44
24,2,18
24,1,16
24,1,20
24,1,26
24,4,21
24,1,22
24,1,37
24,1,17
24,2,32
24,3,28
24,3,22
24,3,10
24,1,20
24,1,33
24,2,27
24,1,36
24,1,23
24,2,23
24,1,24
24,4,29
24,5,25
24,2,22
24,2,32
24,1,18
24,2,14
24,2,35
24,1,19
24,1,12
24,1,36
25,4,84
25,1,34
25,1,86
25,2,68
25,1,80
25,6,100
25,1,46
25,1,55
25,1,60
25,5,43
25,2,42
25,2,53
25,1,76
25,1,58
25,1,46
25,1,46
25,1,48
25,1,40
25,1,21
25,1,54
25,1,63
25,2,46
25,1,23
25,2,65
25,1,23
25,1,36
25,2,66
25,20,34
25,2,37
25,6,50
25,1,40
25,1,18
25,3,50
25,1,38
25,5,32
25,1,19
25,1,30
25,2,35
25,2,42
25,1,16
25,1,45
25,1,26
25,1,26
25,1,20
25,1,35
25,2,32
25,3,29
25,1,20
25,1,35
25,1,11
25,1,30
25,1,31
25,2,34
25,1,29
25,1,24
25,1,22
25,1,16
25,1,19
25,1,18
25,1,23
25,1,20
25,1,38
25,1,14
25,1,21
25,1,38
25,1,12
25,3,33
25,1,26
25,3,18
25,2,26
25,1,22
25,1,37
25,2,14
25,2,25
25,1,23
25,1,12
25,1,14
25,1,11
25,1,19
25,1,21
25,1,1
25,2,14
25,2,26
25,1,31
25,1,21
25,1,19
25,1,22
25,6,34
25,4,23
25,1,24
25,3,27
25,1,33
25,1,24
25,1,9
25,5,24
25,13,33
25,7,35
25,4,19
25,3,21
25,1,25
26,1,34
26,1,50
26,1,48
26,2,92
26,1,68
26,1,92
26,1,60
26,2,56
26,1,70
26,1,37
26,2,58
26,1,52
26,1,47
26,3,98
26,1,85
26,1,43
26,1,36
26,1,72
26,1,38
26,1,22
26,4,46
26,2,43
26,1,40
26,1,47
26,3,65
26,2,45
26,6,64
26,2,49
26,1,50
26,1,37
26,1,28
26,1,29
26,1,31
26,1,29
26,52,66
26,1,37
26,1,58
26,1,36
26,1,53
26,1,40
26,1,24
26,1,18
26,5,27
26,2,30
26,1,15
26,1,20
26,1,7
26,2,50
26,4,61
26,4,40
26,4,29
26,1,47
26,2,30
26,1,36
26,2,30
26,1,18
26,2,12
26,1,15
26,1,52
26,1,38
26,1,50
26,1,33
26,1,23
26,3,24
26,1,25
26,2,26
26,2,35
26,1,41
26,1,27
26,1,24
26,2,24
26,4,35
26,1,21
26,1,28
26,2,13
26,1,19
26,6,27
26,1,40
26,2,25
26,1,39
26,1,14
26,5,25
26,5,26
26,1,14
26,10,35
26,2,27
26,1,11
26,5,20
26,6,29
26,8,19
26,1,19
26,7,34
26,1,35
26,7,26
26,14,20
26,1,36
26,17,31
26,1,25
26,3,29
26,20,39
27,1,59
27,1,100
27,1,26
27,1,64
27,1,47
27,1,61
27,1,52
27,5,65
27,1,96
27,1,65
27,1,37
27,2,48
27,1,73
27,1,40
27,2,69
27,1,66
27,1,64
27,2,51
27,1,78
27,1,60
27,1,27
27,2,47
27,1,32
27,1,54
27,2,50
27,1,53
27,1,44
27,1,40
27,1,52
27,1,52
27,1,33
27,13,48
27,1,13
27,3,35
27,2,31
27,11,62
27,1,11
27,1,43
27,1,26
27,5,39
27,2,14
27,1,36
27,1,28
27,1,33
27,1,36
27,1,17
27,2,29
27,3,27
27,2,45
27,1,17
27,1,18
27,1,26
27,1,30
27,1,31
27,1,14
27,3,31
27,1,47
27,2,45
27,1,20
27,2,31
27,1,21
27,1,32
27,3,31
27,2,17
27,1,20
27,2,27
27,2,46
27,1,24
27,3,22
27,1,31
27,9,40
27,1,6
27,1,18
27,3,34
27,2,31
27,4,19
27,1,35
27,1,25
27,2,20
27,8,30
27,1,25
27,6,26
27,2,7
27,1,32
27,11,33
27,2,19
27,1,26
27,15,23
27,1,25
27,9,19
27,3,17
27,3,16
27,5,33
27,3,26
27,1,22
27,1,25
27,3,22
27,21,41
27,32,21
27,12,18
28,3,88
28,1,70
28,1,25
28,5,75
28,2,66
28,2,62
28,10,47
28,1,42
28,1,80
28,1,57
28,3,75
28,1,42
28,1,41
28,1,53
28,1,52
28,1,55
28,3,49
28,1,23
28,2,35
28,1,42
28,1,48
28,1,40
28,2,43
28,2,44
28,1,39
28,1,16
28,2,31
28,2,33
28,2,43
28,1,46
28,1,44
28,1,42
28,2,34
28,1,22
28,1,44
28,1,57
28,1,35
28,1,54
28,4,51
28,3,19
28,1,30
28,6,41
28,2,7
28,6,42
28,2,28
28,1,26
28,1,24
28,1,19
28,1,27
28,2,57
28,1,36
28,10,34
28,2,47
28,1,19
28,1,46
28,1,22
28,4,33
28,3,13
28,1,31
28,2,28
28,1,33
28,1,30
28,1,40
28,2,15
28,1,24
28,1,36
28,5,50
28,2,21
28,1,45
28,1,16
28,1,16
28,1,31
28,1,18
28,2,28
28,1,44
28,2,48
28,2,34
28,1,22
28,1,21
28,2,22
28,3,12
28,1,28
28,1,15
28,1,47
28,1,37
28,3,30
28,1,30
28,1,26
28,8,16
28,5,29
28,5,16
28,3,29
28,3,22
28,17,34
28,1,34
28,9,33
28,2,17
28,41,42
28,5,14
28,38,42
29,5,72
29,2,82
29,4,53
29,2,34
29,1,57
29,1,71
29,2,43
29,1,61
29,1,68
29,1,57
29,1,36
29,2,70
29,3,44
29,1,30
29,1,30
29,1,36
29,1,27
29,1,82
29,1,74
29,1,44
29,1,47
29,1,31
29,1,67
29,1,91
29,3,34
29,2,72
29,4,35
29,2,28
29,3,64
29,1,26
29,2,20
29,1,52
29,1,56
29,1,22
29,1,54
29,1,43
29,1,35
29,1,52
29,6,31
29,1,28
29,1,46
29,2,21
29,1,44
29,1,16
29,3,21
29,51,1
29,1,34
29,2,40
29,1,33
29,1,42
29,1,32
29,3,47
29,7,54
29,3,38
29,1,39
29,3,26
29,1,36
29,3,39
29,3,33
29,1,24
29,1,31
29,1,31
29,1,44
29,6,43
29,1,47
29,1,35
29,2,58
29,1,20
29,1,27
29,2,21
29,1,22
29,1,35
29,1,17
29,1,12
29,1,31
29,1,11
29,1,21
29,4,32
29,1,24
29,2,29
29,7,29
29,2,25
29,2,29
29,1,22
29,1,22
29,2,20
29,4,22
29,1,6
29,1,30
29,7,25
29,1,34
29,7,36
29,1,19
29,1,16
29,9,26
29,4,20
29,4,33
29,2,17
29,1,21
29,17,27
30,2,79
30,3,70
30,1,90
30,1,60
30,1,32
30,1,54
30,1,66
30,2,58
30,1,58
30,1,51
30,1,46
30,2,70
30,3,91
30,1,37
30,1,21
30,1,52
30,3,57
30,1,64
30,2,95
30,1,52
30,1,33
30,1,43
30,1,39
30,4,58
30,5,79
30,1,48
30,1,25
30,1,34
30,1,44
30,1,71
30,3,37
30,1,55
30,1,58
30,1,47
30,1,38
30,1,45
30,2,27
30,1,35
30,1,31
30,1,32
30,1,38
30,1,49
30,4,35
30,1,23
30,2,57
30,1,40
30,2,20
30,1,33
30,1,37
30,1,40
30,3,22
30,1,21
30,1,12
30,2,20
30,1,42
30,1,27
30,1,41
30,2,31
30,2,30
30,1,32
30,1,36
30,1,19
30,1,27
30,1,23
30,1,24
30,1,34
30,1,32
30,2,42
30,1,40
30,1,35
30,1,41
30,1,14
30,1,24
30,1,19
30,1,19
30,2,16
30,1,30
30,1,47
30,2,38
30,2,45
30,3,44
30,2,29
30,1,39
30,1,27
30,1,14
30,1,34
30,3,32
30,2,14
30,3,20
30,9,29
30,34,1
30,4,16
30,28,37
30,4,33
30,1,19
30,10,26
30,6,33
30,10,29
30,5,8
30,14,16
31,1,46
31,1,41
31,1,57
31,6,71
31,2,73
31,2,81
31,4,51
31,2,41
31,5,81
31,1,31
31,2,49
31,2,34
31,1,77
31,2,37
31,1,41
31,7,60
31,2,59
31,1,27
31,4,43
31,1,60
31,3,45
31,2,48
31,1,31
31,1,19
31,1,31
31,50,1
31,1,41
31,2,47
31,2,43
31,1,40
31,1,19
31,1,39
31,1,37
31,1,40
31,3,29
31,1,42
31,1,14
31,1,24
31,1,36
31,7,42
31,1,19
31,2,34
31,2,23
31,1,30
31,5,57
31,4,29
31,5,26
31,2,43
31,1,22
31,2,32
31,1,39
31,1,33
31,1,23
31,5,30
31,2,19
31,1,43
31,2,22
31,1,58
31,1,30
31,2,25
31,1,37
31,1,22
31,3,25
31,3,43
31,2,19
31,1,16
31,3,18
31,4,31
31,3,24
31,10,32
31,1,34
31,23,35
31,1,19
31,1,33
31,1,27
31,1,18
31,3,24
31,1,29
31,1,36
31,1,18
31,1,12
31,1,27
31,1,23
31,13,1
31,2,17
31,3,24
31,1,12
31,3,22
31,4,24
31,1,24
31,1,22
31,1,17
31,13,27
31,8,32
31,3,5
31,1,16
31,1,9
31,5,22
31,2,21
31,21,42
32,1,56
32,1,38
32,1,62
32,1,67
32,1,42
32,5,99
32,1,66
32,6,55
32,2,83
32,2,39
32,1,44
32,1,19
32,1,29
32,1,34
32,1,58
32,1,65
32,4,58
32,2,72
32,1,33
32,1,28
32,1,49
32,3,44
32,1,52
32,1,54
32,3,61
32,2,52
32,1,25
32,1,24
32,1,32
32,8,19
32,1,38
32,2,26
32,2,35
32,12,42
32,1,27
32,1,43
32,3,49
32,2,27
32,1,24
32,1,41
32,2,35
32,1,33
32,1,19
32,1,19
32,1,37
32,1,21
32,1,37
32,1,27
32,1,24
32,1,34
32,1,14
32,3,23
32,1,23
32,1,22
32,1,19
32,1,32
32,2,26
32,1,36
32,1,26
32,1,16
32,2,17
32,1,16
32,2,12
32,1,38
32,1,13
32,1,33
32,1,12
32,1,39
32,1,34
32,4,39
32,1,26
32,4,18
32,1,18
32,1,8
32,3,32
32,1,20
32,4,22
32,1,17
32,1,15
32,1,20
32,2,35
32,1,18
32,1,18
32,3,25
32,4,22
32,7,25
32,1,21
32,2,24
32,2,24
32,4,23
32,6,31
32,11,40
32,8,15
32,14,26
32,8,27
32,5,29
32,7,31
32,16,30
32,4,12
32,2,25
33,1,100
33,1,80
33,2,32
33,2,61
33,1,90
33,3,63
33,3,73
33,1,82
33,5,36
33,1,35
33,1,28
33,1,61
33,1,58
33,4,56
33,16,45
33,3,55
33,3,49
33,1,28
33,1,61
33,4,51
33,2,62
33,1,44
33,2,29
33,2,40
33,1,42
33,1,28
33,2,24
33,1,39
33,1,57
33,2,33
33,2,50
33,1,51
33,3,13
33,1,44
33,1,47
33,1,30
33,1,19
33,1,29
33,2,42
33,1,21
33,2,38
33,1,49
33,1,25
33,1,36
33,4,38
33,1,34
33,1,31
33,1,30
33,2,35
33,1,40
33,1,29
33,1,15
33,1,20
33,3,24
33,1,35
33,1,33
33,1,40
33,8,45
33,1,39
33,1,33
33,3,37
33,2,14
33,2,31
33,1,23
33,1,38
33,2,26
33,2,38
33,9,25
33,1,24
33,3,25
33,2,22
33,1,16
33,2,36
33,3,10
33,1,28
33,6,27
33,1,25
33,1,33
33,2,14
33,1,9
33,2,15
33,8,7
33,7,29
33,1,22
33,9,14
33,1,33
33,1,15
33,9,22
33,6,27
33,2,13
33,6,37
33,2,29
33,1,29
33,8,26
33,5,25
33,1,25
33,2,26
33,11,37
33,11,23
33,4,28
34,1,56
34,2,79
34,1,22
34,1,26
34,7,53
34,1,87
34,5,61
34,1,39
34,2,58
34,3,65
34,1,42
34,2,64
34,5,74
34,1,54
34,1,48
34,1,14
34,4,59
34,3,27
34,1,47
34,8,94
34,1,72
34,2,70
34,1,31
34,4,29
34,1,48
34,1,38
34,2,84
34,1,48
34,1,47
34,2,41
34,4,48
34,1,47
34,1,43
34,1,53
34,1,21
34,2,33
34,4,56
34,1,34
34,2,23
34,1,28
34,2,21
34,3,17
34,1,40
34,3,44
34,3,21
34,2,34
34,1,36
34,4,37
34,8,40
34,1,32
34,6,27
34,1,47
34,1,10
34,2,20
34,3,39
34,1,17
34,1,24
34,1,25
34,2,19
34,1,31
34,1,35
34,1,27
34,1,32
34,1,14
34,1,40
34,1,16
34,1,30
34,1,27
34,1,23
34,2,51
34,2,32
34,5,41
34,1,20
34,2,25
34,1,19
34,1,34
34,6,37
34,1,28
34,2,14
34,1,26
34,2,18
34,3,19
34,1,28
34,5,22
34,2,4
34,1,18
34,1,39
34,7,7
34,4,18
34,3,14
34,2,19
34,3,18
34,3,25
34,10,31
34,2,21
34,4,26
34,15,29
34,6,18
34,2,26
34,16,32
35,1,67
35,1,55
35,1,18
35,1,37
35,1,28
35,1,32
35,1,78
35,4,82
35,1,35
35,1,71
35,9,35
35,1,40
35,1,69
35,8,70
35,1,59
35,1,23
35,4,69
35,1,54
35,3,48
35,1,43
35,2,36
35,1,47
35,1,36
35,1,85
35,1,41
35,3,42
35,2,27
35,2,32
35,1,24
35,2,45
35,1,41
35,1,34
35,1,35
35,2,31
35,2,28
35,1,41
35,3,45
35,3,18
35,1,15
35,3,21
35,2,33
35,1,37
35,1,51
35,1,38
35,1,38
35,2,54
35,1,9
35,1,37
35,1,39
35,1,34
35,3,23
35,2,42
35,2,28
35,3,44
35,1,15
35,2,27
35,1,56
35,1,25
35,2,27
35,2,16
35,1,41
35,7,52
35,2,18
35,1,17
35,1,12
35,1,22
35,1,32
35,1,23
35,1,22
35,1,23
35,1,18
35,1,31
35,5,42
35,1,34
35,1,28
35,1,15
35,3,29
35,8,19
35,5,24
35,5,18
35,1,23
35,1,15
35,5,30
35,4,13
35,1,28
35,2,18
35,1,23
35,1,9
35,3,23
35,2,19
35,6,14
35,1,21
35,5,33
35,2,20
35,1,14
35,8,32
35,2,21
35,5,29
35,1,13
35,15,28
36,3,53
36,2,49
36,1,100
36,2,31
36,2,51
36,1,34
36,1,33
36,1,48
36,1,97
36,1,78
36,1,23
36,3,61
36,1,75
36,1,39
36,1,27
36,1,37
36,1,63
36,7,76
36,2,43
36,2,87
36,2,1
36,1,57
36,1,31
36,1,37
36,1,71
36,2,51
36,2,46
36,1,86
36,1,29
36,2,57
36,2,62
36,1,79
36,2,31
36,1,42
36,2,33
36,2,27
36,1,55
36,2,31
36,2,59
36,1,51
36,1,35
36,1,27
36,3,46
36,1,50
36,3,37
36,1,25
36,1,25
36,8,35
36,2,52
36,1,25
36,7,33
36,3,34
36,1,25
36,1,33
36,1,25
36,4,30
36,2,33
36,2,13
36,2,32
36,3,27
36,2,39
36,6,17
36,2,39
36,2,20
36,2,31
36,2,19
36,1,18
36,1,22
36,1,28
36,1,21
36,1,26
36,1,35
36,1,43
36,1,28
36,2,35
36,1,26
36,1,24
36,1,16
36,2,11
36,1,11
36,5,22
36,1,21
36,3,28
36,2,25
36,1,42
36,2,24
36,1,20
36,2,15
36,7,26
36,20,9
36,2,16
36,3,23
36,4,28
36,1,23
36,5,34
36,25,33
36,2,18
36,13,22
36,16,34
36,3,38
37,1,74
37,1,22
37,3,61
37,2,66
37,3,90
37,2,79
37,2,57
37,1,65
37,1,74
37,3,42
37,1,50
37,1,47
37,2,81
37,2,57
37,1,100
37,3,62
37,1,49
37,8,73
37,2,76
37,1,40
37,1,52
37,1,63
37,1,63
37,1,59
37,4,57
37,2,36
37,6,54
37,1,38
37,1,36
37,1,57
37,4,46
37,1,39
37,1,36
37,2,21
37,1,26
37,1,44
37,1,31
37,2,25
37,11,40
37,2,29
37,1,18
37,2,40
37,1,45
37,3,44
37,1,17
37,2,50
37,1,22
37,1,37
37,1,54
37,1,51
37,2,32
37,1,37
37,1,25
37,3,40
37,1,25
37,1,36
37,2,21
37,1,20
37,1,31
37,2,41
37,2,25
37,1,17
37,1,35
37,1,26
37,3,44
37,1,25
37,1,24
37,1,20
37,1,8
37,3,40
37,1,34
37,1,27
37,2,30
37,2,30
37,1,30
37,1,15
37,5,17
37,2,26
37,1,35
37,1,20
37,1,22
37,2,27
37,2,26
37,2,17
37,1,16
37,1,14
37,7,20
37,10,38
37,4,29
37,1,10
37,1,30
37,7,29
37,2,27
37,1,26
37,4,31
37,1,21
37,12,27
37,1,36
37,7,42
37,2,33
38,1,43
38,3,92
38,2,54
38,3,74
38,1,92
38,1,53
38,4,45
38,1,56
38,1,47
38,1,75
38,2,33
38,1,94
38,2,46
38,1,67
38,6,51
38,1,47
38,2,55
38,2,41
38,2,50
38,1,29
38,1,46
38,1,75
38,1,54
38,1,70
38,1,22
38,1,35
38,6,34
38,2,28
38,2,28
38,2,74
38,1,20
38,1,42
38,2,29
38,1,43
38,1,52
38,2,56
38,1,52
38,2,33
38,4,48
38,1,44
38,2,57
38,1,51
38,2,30
38,11,37
38,1,42
38,1,15
38,3,33
38,1,15
38,3,31
38,3,7
38,2,36
38,2,31
38,1,34
38,1,25
38,1,21
38,1,23
38,2,14
38,1,30
38,1,26
38,1,37
38,1,28
38,1,14
38,1,29
38,4,39
38,2,12
38,1,49
38,1,31
38,3,20
38,1,43
38,4,40
38,1,33
38,1,24
38,2,27
38,1,14
38,1,19
38,1,34
38,2,24
38,1,26
38,1,12
38,3,37
38,2,22
38,1,18
38,8,22
38,4,34
38,2,23
38,2,25
38,4,17
38,2,21
38,1,18
38,1,23
38,1,19
38,14,31
38,3,30
38,11,23
38,2,21
38,8,20
38,13,16
38,6,27
38,1,19
38,10,30
39,1,32
39,4,76
39,1,59
39,1,89
39,1,39
39,5,54
39,3,64
39,1,38
39,1,66
39,1,62
39,2,47
39,3,30
39,2,57
39,2,64
39,1,65
39,5,42
39,3,32
39,3,60
39,2,63
39,1,20
39,1,57
39,2,60
39,4,16
39,5,36
39,2,28
39,1,18
39,1,43
39,1,74
39,1,47
39,1,50
39,1,36
39,1,37
39,1,53
39,1,31
39,2,26
39,1,12
39,2,26
39,1,46
39,2,42
39,1,53
39,1,38
39,2,26
39,1,32
39,1,31
39,1,39
39,1,29
39,1,38
39,1,51
39,2,25
39,1,11
39,1,26
39,1,39
39,1,42
39,1,35
39,1,48
39,1,23
39,1,40
39,1,28
39,1,38
39,1,35
39,1,15
39,5,33
39,1,27
39,1,46
39,1,11
39,1,31
39,1,31
39,1,23
39,1,16
39,1,29
39,2,19
39,1,39
39,1,41
39,1,19
39,1,31
39,1,33
39,2,41
39,7,25
39,2,24
39,1,25
39,1,30
39,1,9
39,1,12
39,1,24
39,3,30
39,1,10
39,1,14
39,2,26
39,12,34
39,1,22
39,1,16
39,1,15
39,4,22
39,2,25
39,1,14
39,6,29
39,28,27
39,20,24
39,1,21
39,18,28
40,1,74
40,1,41
40,1,71
40,3,55
40,1,69
40,1,59
40,1,67
40,6,87
40,1,41
40,1,43
40,8,45
40,1,56
40,5,58
40,1,57
40,2,28
40,1,72
40,1,55
40,1,40
40,1,35
40,1,40
40,7,58
40,1,47
40,1,41
40,1,53
40,1,63
40,2,50
40,1,48
40,1,37
40,2,24
40,1,59
40,2,35
40,2,28
40,1,24
40,1,46
40,1,50
40,1,11
40,1,21
40,2,43
40,1,21
40,1,18
40,4,17
40,3,35
40,2,38
40,1,23
40,1,18
40,1,42
40,1,48
40,1,35
40,1,50
40,10,1
40,2,30
40,1,48
40,1,43
40,1,34
40,1,32
40,1,19
40,3,48
40,1,33
40,2,45
40,1,27
40,1,17
40,1,23
40,1,25
40,1,20
40,1,30
40,2,22
40,1,18
40,1,30
40,8,13
40,2,27
40,2,29
40,1,34
40,4,25
40,1,15
40,4,34
40,5,24
40,2,17
40,1,23
40,2,11
40,2,14
40,1,31
40,5,22
40,2,26
40,1,12
40,10,29
40,1,22
40,2,15
40,1,43
40,4,30
40,3,17
40,2,19
40,2,33
40,1,12
40,4,25
40,9,22
40,10,27
40,23,31
40,1,27
40,15,12
40,9,35
41,1,43
41,7,100
41,2,87
41,4,78
41,1,25
41,2,87
41,2,71
41,1,70
41,2,83
41,5,59
41,3,69
41,1,54
41,1,56
41,6,100
41,1,72
41,3,53
41,2,79
41,2,85
41,1,41
41,1,60
41,9,71
41,1,43
41,1,53
41,3,61
41,2,71
41,1,76
41,3,73
41,1,69
41,1,52
41,1,40
41,1,56
41,1,40
41,1,31
41,1,43
41,2,30
41,1,36
41,1,40
41,4,17
41,1,48
41,1,28
41,2,39
41,2,27
41,2,30
41,1,53
41,1,60
41,1,44
41,1,50
41,1,37
41,4,42
41,1,45
41,1,54
41,1,20
41,1,34
41,1,19
41,1,42
41,1,28
41,4,50
41,1,46
41,1,11
41,2,26
41,8,50
41,1,41
41,1,28
41,2,43
41,3,36
41,1,51
41,4,36
41,1,20
41,1,29
41,1,17
41,1,24
41,1,26
41,2,20
41,1,38
41,1,18
41,1,19
41,1,20
41,1,16
41,1,27
41,1,23
41,1,9
41,4,21
41,2,27
41,1,20
41,3,29
41,5,24
41,2,12
41,1,22
41,2,19
41,2,33
41,1,16
41,3,26
41,5,24
41,1,26
41,1,26
41,3,23
41,3,23
41,1,12
41,1,19
41,1,19
42,1,81
42,1,51
42,1,88
42,2,100
42,1,83
42,2,78
42,1,28
42,1,66
42,3,60
42,2,65
42,12,68
42,3,89
42,1,63
42,1,49
42,3,33
42,4,29
42,1,55
42,2,79
42,1,26
42,1,63
42,2,52
42,1,54
42,1,65
42,2,47
42,1,71
42,1,29
42,1,39
42,1,40
42,2,46
42,2,39
42,1,50
42,1,44
42,4,25
42,1,29
42,1,67
42,1,45
42,2,24
42,2,33
42,1,23
42,1,28
42,1,28
42,4,19
42,1,45
42,2,19
42,1,23
42,2,24
42,1,43
42,1,30
42,1,24
42,2,44
42,1,27
42,1,31
42,1,22
42,1,36
42,1,26
42,1,33
42,1,35
42,2,21
42,1,45
42,3,40
42,1,37
42,2,42
42,1,39
42,3,53
42,1,15
42,1,30
42,1,19
42,4,45
42,1,28
42,1,15
42,4,35
42,1,34
42,2,23
42,1,17
42,6,21
42,1,36
42,2,23
42,3,20
42,11,21
42,1,21
42,1,25
42,1,29
42,2,24
42,9,31
42,2,39
42,2,23
42,6,31
42,2,28
42,11,30
42,14,35
42,1,15
42,6,31
42,3,21
42,1,36
42,12,27
42,2,32
42,9,24
42,22,32
42,4,23
42,2,21
43,1,47
43,2,55
43,1,94
43,2,82
43,1,77
43,1,94
43,1,31
43,1,30
43,1,89
43,2,61
43,1,75
43,3,75
43,1,35
43,1,48
43,1,42
43,1,13
43,1,28
43,1,63
43,2,43
43,1,45
43,2,24
43,2,45
43,1,42
43,1,46
43,1,35
43,1,69
43,1,59
43,2,32
43,3,37
43,1,45
43,2,32
43,1,47
43,1,46
43,1,50
43,4,21
43,7,49
43,1,7
43,3,68
43,2,42
43,1,47
43,2,29
43,4,48
43,2,56
43,1,29
43,2,35
43,1,39
43,1,58
43,2,35
43,1,34
43,11,53
43,2,33
43,2,15
43,2,56
43,3,50
43,1,29
43,1,27
43,1,46
43,1,23
43,1,27
43,8,45
43,1,20
43,2,27
43,1,20
43,1,20
43,5,24
43,2,28
43,4,25
43,1,29
43,3,13
43,2,17
43,2,25
43,1,23
43,6,33
43,4,23
43,1,42
43,3,31
43,2,41
43,2,20
43,1,22
43,2,35
43,4,21
43,1,16
43,6,27
43,1,20
43,3,18
43,2,7
43,7,32
43,10,13
43,5,26
43,1,29
43,1,9
43,15,27
43,7,19
43,6,27
43,14,29
43,12,32
43,10,30
43,4,25
43,2,19
43,10,30
44,1,83
44,1,38
44,2,58
44,1,96
44,2,55
44,1,34
44,1,36
44,1,10
44,1,50
44,2,84
44,1,59
44,1,34
44,1,60
44,1,79
44,1,58
44,1,32
44,3,91
44,2,70
44,2,43
44,1,48
44,2,31
44,1,47
44,1,33
44,1,33
44,2,68
44,1,18
44,2,23
44,3,52
44,1,38
44,3,32
44,1,30
44,2,29
44,1,25
44,9,34
44,1,38
44,2,49
44,2,44
44,3,25
44,2,29
44,2,15
44,1,53
44,1,24
44,1,39
44,5,45
44,6,25
44,1,11
44,1,33
44,3,34
44,1,25
44,6,49
44,1,28
44,1,22
44,1,31
44,2,25
44,1,28
44,6,13
44,1,26
44,2,16
44,1,28
44,1,24
44,1,33
44,1,28
44,1,15
44,2,27
44,3,19
44,1,23
44,3,5
44,1,11
44,1,30
44,6,20
44,3,27
44,1,17
44,6,20
44,1,18
44,1,24
44,1,15
44,1,33
44,1,6
44,1,38
44,2,19
44,1,33
44,1,11
44,1,19
44,5,29
44,2,29
44,1,15
44,2,5
44,1,26
44,7,21
44,3,18
44,5,21
44,4,10
44,6,17
44,1,18
44,3,26
44,8,30
44,10,33
44,1,26
44,10,29
44,20,41
45,2,60
45,1,35
45,1,90
45,3,100
45,3,39
45,3,47
45,1,55
45,1,100
45,1,47
45,1,26
45,1,25
45,1,93
45,3,67
45,1,60
45,1,60
45,8,52
45,1,59
45,1,71
45,2,49
45,1,33
45,2,43
45,1,19
45,1,65
45,1,32
45,3,33
45,6,61
45,1,58
45,2,12
45,1,13
45,1,15
45,1,47
45,1,35
45,6,38
45,1,25
45,2,43
45,6,21
45,1,30
45,1,27
45,1,38
45,1,37
45,1,18
45,3,49
45,1,28
45,2,39
45,1,44
45,4,38
45,1,21
45,1,41
45,1,24
45,2,39
45,1,13
45,2,60
45,1,54
45,1,34
45,2,1
45,1,20
45,1,34
45,2,35
45,1,25
45,1,23
45,1,34
45,1,32
45,2,26
45,1,17
45,1,30
45,1,22
45,1,25
45,1,15
45,2,43
45,1,25
45,1,25
45,2,17
45,5,30
45,1,25
45,3,25
45,1,25
45,1,19
45,1,31
45,1,25
45,1,20
45,1,18
45,1,35
45,1,24
45,1,39
45,1,41
45,4,17
45,7,27
45,2,21
45,2,22
45,5,15
45,9,29
45,1,5
45,5,17
45,9,29
45,1,25
45,1,30
45,2,25
45,1,47
45,6,21
45,3,31
46,1,54
46,1,96
46,1,84
46,1,47
46,2,61
46,1,67
46,2,89
46,3,69
46,1,68
46,5,88
46,2,42
46,3,100
46,1,16
46,1,73
46,1,43
46,1,22
46,1,43
46,1,24
46,2,62
46,2,51
46,3,28
46,2,90
46,1,78
46,3,78
46,4,55
46,1,24
46,2,92
46,1,74
46,1,55
46,1,28
46,1,52
46,1,38
46,4,29
46,1,30
46,1,34
46,4,60
46,2,55
46,5,24
46,1,56
46,1,34
46,2,35
46,1,19
46,1,39
46,1,55
46,2,31
46,1,26
46,71,1
46,5,60
46,6,31
46,1,37
46,1,15
46,1,20
46,1,20
46,3,27
46,2,42
46,5,31
46,1,47
46,3,40
46,1,57
46,4,37
46,1,18
46,2,17
46,1,47
46,1,22
46,1,38
46,1,33
46,1,8
46,2,28
46,7,44
46,1,23
46,1,38
46,2,19
46,1,23
46,2,28
46,1,16
46,2,18
46,1,10
46,3,30
46,8,29
46,2,43
46,1,27
46,2,27
46,1,37
46,7,22
46,1,21
46,1,30
46,5,33
46,1,15
46,4,9
46,6,35
46,14,30
46,7,28
46,5,37
46,1,31
46,1,27
46,12,29
46,5,17
46,10,27
46,8,35
46,2,27
47,1,74
47,1,70
47,3,81
47,1,47
47,6,74
47,1,72
47,3,82
47,3,94
47,1,61
47,1,65
47,1,61
47,2,51
47,2,59
47,1,51
47,1,77
47,1,41
47,3,77
47,1,76
47,3,63
47,1,60
47,1,24
47,2,33
47,1,53
47,1,54
47,1,33
47,2,31
47,1,49
47,1,46
47,3,39
47,6,42
47,2,43
47,2,20
47,2,62
47,1,49
47,1,50
47,3,35
47,2,60
47,1,33
47,1,38
47,1,24
47,2,39
47,1,32
47,3,34
47,1,65
47,6,20
47,1,26
47,1,49
47,1,53
47,1,43
47,2,23
47,1,25
47,1,26
47,1,38
47,2,29
47,3,41
47,2,34
