predator_init_pop,prey_minimum,predator_minimum,,,,,
30,12,50,,,,,
30,1,21,,,,,
30,3,48,,,,,
30,2,46,,,,,
30,1,30,,,,,
30,14,45,,,,,
30,1,54,,,,,
30,15,46,,,,,
30,4,29,,,,,
30,5,27,,,,,
30,1,28,,,,,
30,6,39,,,,,
30,4,24,,,,,
30,3,28,,,,,
30,1,25,,,,,
30,9,49,,,,,
30,10,35,,,,,
30,7,46,,,,,
30,8,44,,,,,
30,8,50,,,,,
30,1,49,,,,,
30,2,18,,,,,
30,11,44,,,,,
30,5,47,,,,,
30,6,44,,,,,
30,7,42,,,,,
30,4,51,,,,,
40,1,75,,,,,
40,1,100,,,,,
40,1,100,,,,,
40,1,98,,,,,
40,1,82,,,,,
40,1,100,,,,,
40,1,60,,,,,
40,3,97,,,,,
40,1,58,,,,,
40,1,41,,,,,
40,2,43,,,,,
40,1,70,,,,,
40,2,42,,,,,
40,1,22,,,,,
40,5,41,,,,,
40,1,45,,,,,
40,3,37,,,,,
40,2,40,,,,,
40,1,25,,,,,
40,1,19,,,,,
40,12,45,,,,,
40,2,27,,,,,
40,2,30,,,,,
40,1,47,,,,,
40,2,36,,,,,
40,2,35,,,,,
40,1,24,,,,,
40,2,37,,,,,
40,13,52,,,,,
40,4,26,,,,,
40,5,46,,,,,
40,11,39,,,,,
40,1,59,,,,,
40,7,42,,,,,
40,2,48,,,,,
40,7,32,,,,,
40,8,32,,,,,
40,14,52,,,,,
40,15,58,,,,,
40,3,51,,,,,
50,1,80,,,,,
50,1,49,,,,,
50,2,90,,,,,
50,1,94,,,,,
50,1,51,,,,,
50,1,67,,,,,
50,1,69,,,,,
50,3,82,,,,,
50,1,38,,,,,
50,1,70,,,,,
50,1,81,,,,,
50,1,52,,,,,
50,2,27,,,,,
50,2,58,,,,,
50,1,16,,,,,
50,6,35,,,,,
50,2,23,,,,,
50,6,34,,,,,
50,1,34,,,,,
50,4,37,,,,,
50,2,26,,,,,
50,4,34,,,,,
50,1,28,,,,,
50,2,38,,,,,
50,6,35,,,,,
50,14,45,,,,,
50,2,34,,,,,
50,1,41,,,,,
50,4,24,,,,,
50,13,38,,,,,
50,3,34,,,,,
50,2,35,,,,,
50,1,38,,,,,
50,3,33,,,,,
50,9,44,,,,,
50,1,25,,,,,
50,5,41,,,,,
50,4,31,,,,,
50,9,45,,,,,
50,12,44,,,,,
60,2,100,,,,,
60,1,56,,,,,
60,1,68,,,,,
60,2,89,,,,,
60,1,56,,,,,
60,2,100,,,,,
60,3,56,,,,,
60,1,88,,,,,
60,2,100,,,,,
60,1,68,,,,,
60,5,69,,,,,
60,1,43,,,,,
60,1,51,,,,,
60,2,58,,,,,
60,1,39,,,,,
60,1,37,,,,,
60,1,36,,,,,
60,1,49,,,,,
60,6,40,,,,,
60,6,48,,,,,
60,1,37,,,,,
60,1,21,,,,,
60,1,40,,,,,
60,9,28,,,,,
60,13,47,,,,,
60,3,38,,,,,
60,4,38,,,,,
60,2,31,,,,,
60,4,29,,,,,
60,4,50,,,,,
60,6,39,,,,,
60,4,36,,,,,
60,1,27,,,,,
60,11,35,,,,,
60,1,19,,,,,
60,4,27,,,,,
60,6,41,,,,,
60,4,56,,,,,
60,12,33,,,,,
60,5,22,,,,,
70,1,38,,,,,
70,1,57,,,,,
70,1,45,,,,,
70,2,75,,,,,
70,1,100,,,,,
70,1,69,,,,,
70,1,45,,,,,
70,2,42,,,,,
70,1,49,,,,,
70,1,66,,,,,
70,2,40,,,,,
70,1,33,,,,,
70,1,46,,,,,
70,1,24,,,,,
70,1,26,,,,,
70,4,31,,,,,
70,13,49,,,,,
70,2,44,,,,,
70,1,34,,,,,
70,9,45,,,,,
70,1,29,,,,,
70,2,20,,,,,
70,1,23,,,,,
70,1,46,,,,,
70,1,38,,,,,
70,1,27,,,,,
70,1,10,,,,,
70,5,24,,,,,
70,4,29,,,,,
70,2,43,,,,,
70,6,37,,,,,
70,3,41,,,,,
70,1,17,,,,,
70,1,10,,,,,
70,8,44,,,,,
70,6,27,,,,,
70,16,40,,,,,
70,11,38,,,,,
70,9,49,,,,,
70,1,28,,,,,
80,3,94,,,,,
80,2,100,,,,,
80,1,64,,,,,
80,4,100,,,,,
80,1,98,,,,,
80,1,94,,,,,
